ID,Espnurse,target,NH1,H1,NF1,F1,NH2,H2,NF2,F2,NH3,H3,NF3,F3,NH4,H4,NF4,F4,NH5,H5,NF5,F5,NH6,H6,NF6,F6,NH7,H7,NF7,F7,NH8,H8,NF8,F8,NH9,H9,NF9,F9
150,imbiratanha,aroeira,27,30,9,7,23,30,16,7,25,33,15,8,25,32,6,7,20,23,2,0,27,31,1,2,21,32,0,2,25,33,0,1,25,33,0,0
73,imbiratanha,angico,43,28,9,11,40,27,9,10,42,29,2,3,42,27,0,0,41,27,0,0,42,27,0,0,42,26,0,0,44,28,0,0,40,27,0,0
73,imbiratanha,cating,10,24,6,3,10,26,6,3,12,23,5,0,10,24,5,1,9,22,4,1,9,24,4,1,9,-1,1,-1,10,-1,0,-1,-1,-1,-1,-1
73,imbiratanha,aroeira,42,31,10,8,38,31,6,7,40,32,0,0,40,32,2,0,39,30,2,0,40,32,1,0,40,30,1,0,38,30,0,0,39,-1,0,-1
78,imbiratanha,angico,33,47,7,9,32,43,6,6,32,43,5,0,30,44,5,0,32,45,4,0,32,45,0,0,32,44,0,0,32,45,0,0,32,45,0,0
78,imbiratanha,cating,17,20,5,4,18,18,6,3,17,18,6,3,17,19,6,3,20,19,3,3,20,19,2,3,20,19,1,3,20,18,0,2,20,-1,0,-1
78,imbiratanha,aroeira,31,40,8,10,30,37,0,6,30,39,0,0,30,38,0,3,30,38,0,3,30,39,0,3,30,38,0,2,30,41,0,2,29,39,0,0
160,imbiratanha,angico,25,34,7,12,25,37,7,6,22,26,4,0,25,36,5,5,25,36,6,5,26,36,4,4,24,36,0,4,26,35,0,2,25,35,0,0
160,imbiratanha,cating,20,20,4,3,20,22,4,3,24,22,3,4,20,22,4,3,20,20,3,1,20,21,0,1,20,21,0,0,21,22,0,0,-1,21,-1,0
160,imbiratanha,aroeira,36,26,12,9,40,26,9,9,30,40,6,0,38,27,7,9,39,26,2,3,36,27,1,3,36,27,1,3,42,27,1,3,39,28,0,0
57,imburana,angico,28,28,7,8,27,25,7,10,27,26,4,0,27,27,4,0,26,26,3,0,28,26,3,0,28,26,3,0,27,26,0,0,-1,27,-1,0
